|,sentence,info_snippets,info_target,info_sentiment_score,info_aspects
14860,Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,['Slowly adding some $FIO here but gotta be careful'],0.459,FIO,['Stock/Price Action/Bullish/Bull Position']
14864,$TRX http://stks.co/1KkK Long setup. MACD cross.,['Long setup. MACD cross.'],0.438,TRX,['Stock/Technical Analysis']
14867,I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,['both fundementals and charts look like poopoo this quarter.'],-0.506,AMZN,['Stock/Price Action/Bearish']
14875,$GRPN might be selling off ahead of $P earnings...,['might be selling off ahead'],-0.202,P,['Stock/Price Action/Bearish/Bearish Behavior']
14876,$IACI http://stks.co/tJU Looks good on the weekly chart.,['Looks good on the weekly chart.'],0.379,IACI,['Stock/Technical Analysis']
14877,"$pcln back over ""up"" trendline from 10/4","['back over ""up"" trendline']",0.308,PCLN,['Stock/Price Action/Bullish']
14880,RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,['A close above here is looking good for the bulls'],0.578,NFLX,['Stock/Price Action/Bullish/Bullish Behavior']
14882,Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,['That has to be the pressure on the stock'],0.222,AAPL,['Stock/Price Action/Bearish']
14886,$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,['Stock price implies you pay nothing for the business'],0.298,SKX,['Stock/Price Action/Bullish']
14891,$MOS looking good here at $58.65. Calls are active in this month and weekly,['Calls are active in this month and weekly'],0.492,MOS,['Stock/Options/Strategies']
14893,"Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now.",['Letting the calls ride solo now'],0.385,TZA,['Stock/Options/Strategies']
14899,$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,['Long setup. Closed above the 20MA. MACD cross. November catalyst.'],0.444,YMI,['Stock/Price Action/Bullish']
14902,$TZOO a close above 28.64 and we are ready to rock and roll,['a close above 28.64 and we are ready to rock and roll'],0.308,TZOO,['Stock/Price Action/Bullish']
14905,"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.","[""I'm liking the price action""]",0.603,SWKS,['Stock/Price Action']
14918,$WFT closng higher from here,['closng higher from here'],0.48,WFT,['Stock/Price Action/Bullish/Bullish Behavior']
